"sample_id","run_name","datetime_collected","fork_length_mm","field_run_type_id"
BTC22_10_B_1,LateFall,,,
BTC22_10_B_2,Spring,,,
BTC22_10_B_3,Fall,,,
BTC22_10_C_1,Fall,,,
BTC22_10_C_2,Fall,,,
BTC22_10_C_3,Fall,,,
BTC22_10_C_4,LateFall,,,
BTC22_10_C_5,LateFall,,,
BTC22_10_C_6,LateFall,,,
BTC22_10_C_7,LateFall,,,
BTC22_10_C_8,LateFall,,,
BTC22_1_A_1,Spring,,,
BTC22_1_A_2,Spring/Winter,,,
BTC22_1_A_3,Spring,,,
BTC22_2_A_1,Spring,,,
BTC22_2_A_2,Spring,,,
BTC22_2_A_3,Spring,,,
BTC22_3_A_1,Spring,,,
BTC22_4_B_1,Unknown,,,
BTC22_4_B_2,Unknown,,,
BTC22_4_B_3,Spring/Winter,,,
BTC22_6_B_1,Unknown,,,
BTC22_6_B_2,Unknown,,,
BTC22_7_A_1,Fall/LateFall,,,
BTC22_7_B_1,Unknown,,,
BTC22_7_B_3,Unknown,,,
BTC22_7_B_4,Unknown,,,
BTC22_8_A_1,Unknown,,,
BTC22_8_A_2,Unknown,,,
BTC22_8_A_3,Unknown,,,
BTC22_8_B_1,Spring,,,
BTC22_8_B_3,Unknown,,,
BTC22_8_C_1,Spring/Winter,,,
BTC22_9_B_1,Fall,,,
BTC22_9_B_2,Spring,,,
BTC22_9_B_3,LateFall,,,
BTC22_9_C_1,Spring,,,
BTC22_9_C_2,Spring,,,
BTC22_9_C_3,Spring,,,
BTC22_9_C_4,Spring,,,
BTC22_9_D_1,Spring,,,
BTC23_10_A_1,Spring,,,
BTC23_10_A_2,Spring,,,
BTC23_10_B_1,Spring,,,
BTC23_11_B_2,Spring,,,
BTC23_11_B_4,Winter,,,
BTC23_12_B_1,Fall,,,
BTC23_12_B_2,Fall,,,
BTC23_12_B_3,Fall,,,
BTC23_12_B_4,Spring,,,
BTC23_12_B_5,Spring,,,
BTC23_12_C_1,Spring,,,
BTC23_13_B_1,Spring,,,
BTC23_13_B_2,Spring,,,
BTC23_13_B_3,Spring,,,
BTC23_13_C_1,Spring,,,
BTC23_13_C_2,Spring,,,
BTC23_13_C_3,Spring,,,
BTC23_13_C_4,Spring,,,
BTC23_13_C_5,Spring,,,
BTC23_13_C_6,Spring,,,
BTC23_13_C_7,Fall,,,
BTC23_13_C_8,Spring,,,
BTC23_14_C_1,Fall,,,
BTC23_14_C_2,Spring,,,
BTC23_14_C_3,Spring,,,
BTC23_14_C_4,Spring,,,
BTC23_14_C_5,Winter,,,
BTC23_2_A_1,Spring,,,
BTC23_2_A_10,Spring,,,
BTC23_2_A_2,Spring,,,
BTC23_2_A_3,Spring,,,
BTC23_2_A_4,Spring,,,
