sample_id,genetic_run_name,datetime_collected,fork_length_mm,field_run_name
BTC22_10_B_1,LateFall,2022-05-20T13:12:00Z,65,Fall
BTC22_10_B_2,Spring,2022-05-23T10:42:00Z,81,Fall
BTC22_10_B_3,Fall,2022-05-25T13:45:00Z,64,Fall
BTC22_10_C_1,Fall,2022-05-16T12:15:00Z,92,Fall
BTC22_10_C_2,Fall,2022-05-16T12:20:00Z,82,Fall
BTC22_10_C_3,Fall,2022-05-16T12:30:00Z,86,Fall
BTC22_10_C_4,LateFall,2022-05-17T09:45:00Z,84,Fall
BTC22_10_C_5,LateFall,2022-05-17T09:53:00Z,83,Fall
BTC22_10_C_6,LateFall,2022-05-17T09:58:00Z,84,Fall
BTC22_10_C_7,LateFall,2022-05-17T10:01:00Z,91,Fall
BTC22_10_C_8,LateFall,2022-05-17T10:04:00Z,82,Fall
BTC22_1_A_1,Spring,NA,NA,NA
BTC22_1_A_2,Spring/Winter,NA,NA,NA
BTC22_1_A_3,Spring,NA,NA,NA
BTC22_2_A_1,Spring,2022-01-24T11:02:00Z,36,Fall
BTC22_2_A_2,Spring,2022-01-24T11:08:00Z,35,Fall
BTC22_2_A_3,Spring,2022-01-24T11:12:00Z,36,Fall
BTC22_3_A_1,Spring,2022-02-07T10:52:00Z,33,Fall
BTC22_4_B_1,Unknown,2022-02-21T07:54:00Z,53,Fall
BTC22_4_B_2,Unknown,2022-02-22T09:30:00Z,66,Fall
BTC22_4_B_3,Spring/Winter,2022-02-22T09:35:00Z,60,Fall
BTC22_6_B_1,Unknown,2022-03-22T09:06:00Z,77,Spring
BTC22_6_B_2,Unknown,2022-03-22T09:06:00Z,69,Fall
BTC22_7_A_1,Fall/LateFall,2022-04-11T09:10:00Z,31,LateFall
BTC22_7_B_1,Unknown,2022-04-05T09:22:00Z,79,Fall
BTC22_7_B_3,Unknown,2022-04-11T09:10:00Z,79,Fall
BTC22_7_B_4,Unknown,2022-04-11T09:27:00Z,73,Fall
BTC22_8_A_1,Unknown,2022-04-18T16:07:00Z,47,Fall
BTC22_8_A_2,Unknown,2022-04-18T16:10:00Z,33,LateFall
BTC22_8_A_3,Unknown,2022-04-18T16:13:00Z,31,LateFall
BTC22_8_B_1,Spring,2022-04-18T16:18:00Z,74,Fall
BTC22_8_B_3,Unknown,2022-04-25T11:50:00Z,68,Spring
BTC22_8_C_1,Spring/Winter,2022-04-18T16:00:00Z,93,Spring
BTC22_9_B_1,Fall,2022-05-02T12:06:00Z,82,Fall
BTC22_9_B_2,Spring,2022-05-02T12:07:00Z,84,Fall
BTC22_9_B_3,LateFall,2022-05-03T08:45:00Z,76,Fall
BTC22_9_C_1,Spring,2022-05-02T12:25:00Z,95,Spring
BTC22_9_C_2,Spring,2022-05-02T12:01:00Z,88,Fall
BTC22_9_C_3,Spring,2022-05-02T12:02:00Z,85,Fall
BTC22_9_C_4,Spring,NA,NA,NA
BTC22_9_D_1,Spring,2022-05-02T12:10:00Z,120,Spring
BTC23_10_A_1,Spring,2023-03-22T09:25:00Z,75,Unknown
BTC23_10_A_2,Spring,NA,NA,NA
BTC23_10_B_1,Spring,NA,NA,NA
